score[]	person[]	method[]	chapter[]	days[]	n[]
1	1	1	1	4	1
1	2	1	1	4	1
1	3	1	1	4	1
1	4	1	1	4	1
0	5	1	1	4	1
1	7	1	1	4	1
0	8	1	1	4	1
1	9	1	1	4	1
1	10	1	1	4	1
1	11	1	1	4	1
1	12	1	1	4	1
1	13	1	1	4	1
1	14	1	1	4	1
0	15	1	1	4	1
0	16	1	1	4	1
1	17	1	1	4	1
1	18	1	1	4	1
1	19	1	1	4	1
1	20	1	1	4	1
1	21	1	1	4	1
1	22	1	1	4	1
1	23	1	1	4	1
1	24	1	1	4	1
1	25	1	1	4	1
1	26	1	1	4	1
1	27	1	1	4	1
1	28	1	1	4	1
1	29	1	1	4	1
1	30	1	1	4	1
1	31	1	1	4	1
1	32	1	1	4	1
1	33	1	1	4	1
1	34	1	1	4	1
1	35	1	1	4	1
1	36	1	1	4	1
1	37	1	1	4	1
1	38	1	1	4	1
0	39	1	1	4	1
1	1	1	1	23	1
1	2	1	1	23	1
1	3	1	1	23	1
1	4	1	1	23	1
1	5	1	1	23	1
1	6	1	1	23	1
1	7	1	1	23	1
1	8	1	1	23	1
1	9	1	1	23	1
1	10	1	1	23	1
1	11	1	1	23	1
1	12	1	1	23	1
1	13	1	1	23	1
1	14	1	1	23	1
1	15	1	1	23	1
1	16	1	1	23	1
1	17	1	1	23	1
1	18	1	1	23	1
1	19	1	1	23	1
1	20	1	1	23	1
1	21	1	1	23	1
1	22	1	1	23	1
1	23	1	1	23	1
1	24	1	1	23	1
1	25	1	1	23	1
1	26	1	1	23	1
1	27	1	1	23	1
1	28	1	1	23	1
1	29	1	1	23	1
1	30	1	1	23	1
1	31	1	1	23	1
1	32	1	1	23	1
1	33	1	1	23	1
1	34	1	1	23	1
1	35	1	1	23	1
1	36	1	1	23	1
1	37	1	1	23	1
1	38	1	1	23	1
1	39	1	1	23	1
0	1	1	1	79	1
1	2	1	1	79	1
0	3	1	1	79	1
1	4	1	1	79	1
0	5	1	1	79	1
0	6	1	1	79	1
1	7	1	1	79	1
1	8	1	1	79	1
0	9	1	1	79	1
0	10	1	1	79	1
0	11	1	1	79	1
0	12	1	1	79	1
0	13	1	1	79	1
1	14	1	1	79	1
0	15	1	1	79	1
1	16	1	1	79	1
1	17	1	1	79	1
0	18	1	1	79	1
1	19	1	1	79	1
0	20	1	1	79	1
1	21	1	1	79	1
1	22	1	1	79	1
0	23	1	1	79	1
0	24	1	1	79	1
1	25	1	1	79	1
1	26	1	1	79	1
0	27	1	1	79	1
0	28	1	1	79	1
0	29	1	1	79	1
0	30	1	1	79	1
1	31	1	1	79	1
0	32	1	1	79	1
0	33	1	1	79	1
0	34	1	1	79	1
1	35	1	1	79	1
1	36	1	1	79	1
1	37	1	1	79	1
0	38	1	1	79	1
0	39	1	1	79	1
1	1	2	1	8	1
0	2	2	1	8	1
0	3	2	1	8	1
0	4	2	1	8	1
1	5	2	1	8	1
1	6	2	1	8	1
1	7	2	1	8	1
0	8	2	1	8	1
1	9	2	1	8	1
