Random ID,Sex,Age,Major reqs/reccs (* indicates that other stats courses are valid options),Number of semesters completed at UWEC,Total number of semesters,Number of transfer credits (non-CP or CR),"CP, CR credits",Previous college-level math (does not count Math 20)
136,M,22,req,0,6,57,17,Y
111,F,18,req,0,0,0,17,N
122,F,18,no,0,0,0,12,N
118,M,18,no,0,0,0,10,Y
110,M,20,no,2,2,0,9,Y
114,M,18,no,0,0,0,7,Y
113,F,21,no,4,4,0,3,Y
130,M,18,req,0,0,0,3,N
102,F,21,req*,4,4,0,3,N
121,M,19,req,2,2,0,3,Y
104,F,23,no,0,4,48,2,Y
131,M,18,(no),0,1,12,0,Y
125,F,18,req,0,2,12,0,N
126,M,20,req,2,2,6,0,N
134,F,18,depends,0,1,4,0,N
119,M,18,no,0,1,4,0,N
103,F,20,req*,2,3,3,0,Y
101,F,19,no,2,2,0,0,Y
106,F,20,no,2,2,0,0,Y
117,M,19,req*,0,0,0,0,N
128,M,18,no,0,0,0,0,N
115,M,19,no,0,0,0,0,N
107,M,18,(no -> depends),0,0,0,0,N
132,F,25,req,0,3,57,0,N
135,M,21,req,4,8,45,0,Y
127,M,19,no,0,4,61,0,Y
112,M,20,req,2,4,10,0,Y
139,F,19,req,0,0,0,0,N
108,F,19,req,0,2,20,0,N
129,M,26,req,0,8,120,0,
105,F,29,req,0,3,37,0,Y
116,M,19,req,0,2,34,0,Y
123,M,18,no,0,2,10,9,N
138,F,19,no,0,2,10,3,N
109,M,18,no,0,2,9,0,N
137,F,18,no,0,1,4,3,N
124,F,19,no,0,1,16,0,N
120,F,20,no,2,2,0,0,Y
140,M,25,req,10,10,0,0,Y
133,F,19,(req),0,0,0,0,N
