Chapter,Method,Q1,Q2,Q3
Chapter 5,A,1,disagree,neither agree nor disagree
Chapter 5,A,1,neither agree nor disagree,disagree strongly
Chapter 5,A,1,neither agree nor disagree,disagree
Chapter 5,A,1,neither agree nor disagree,agree
Chapter 5,A,1,agree,disagree
Chapter 5,A,2,disagree,disagree
Chapter 5,A,2,disagree,disagree
Chapter 5,A,2,disagree,disagree
Chapter 5,A,2,disagree,disagree
Chapter 5,A,2,disagree,disagree strongly
Chapter 5,A,2,neither agree nor disagree,disagree strongly
Chapter 5,A,2,neither agree nor disagree,disagree
Chapter 5,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 5,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 5,A,2,neither agree nor disagree,disagree
Chapter 5,A,2,neither agree nor disagree,disagree
Chapter 5,A,2,neither agree nor disagree,disagree
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,disagree strongly
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,disagree strongly
Chapter 5,A,2,agree,disagree strongly
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,neither agree nor disagree
Chapter 5,A,2,agree,disagree strongly
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,disagree
Chapter 5,A,2,agree,disagree
Chapter 5,A,2.5,neither agree nor disagree,disagree
Chapter 5,A,2.5,agree,disagree
Chapter 5,A,2.5,agree,disagree strongly
Chapter 5,A,3,neither agree nor disagree,disagree
Chapter 5,A,3,neither agree nor disagree,disagree strongly
Chapter 5,A,3,neither agree nor disagree,disagree
Chapter 5,A,3,agree,disagree
Chapter 5,A,3,agree,disagree strongly
Chapter 5,A,3,agree,disagree
Chapter 5,A,3,agree,disagree strongly
Chapter 5,A,3,agree,disagree
Chapter 5,A,3,agree,neither agree nor disagree
Chapter 5,A,3,agree,disagree
Chapter 5,A,3,agree,disagree
Chapter 5,A,3,agree,disagree
Chapter 5,A,3,agree,disagree
Chapter 5,A,3,agree,disagree strongly
Chapter 5,A,3,agree strongly,disagree
Chapter 5,A,3,agree strongly,disagree strongly
Chapter 5,A,3,agree strongly,disagree strongly
Chapter 5,A,3,agree strongly,disagree
Chapter 5,B,1,disagree strongly,neither agree nor disagree
Chapter 5,B,1,disagree,neither agree nor disagree
Chapter 5,B,1,disagree,agree
Chapter 5,B,1,disagree,agree
Chapter 5,B,1,neither agree nor disagree,neither agree nor disagree
Chapter 5,B,1,neither agree nor disagree,neither agree nor disagree
Chapter 5,B,1,neither agree nor disagree,disagree
Chapter 5,B,1,neither agree nor disagree,neither agree nor disagree
Chapter 5,B,1,neither agree nor disagree,neither agree nor disagree
Chapter 5,B,1,neither agree nor disagree,neither agree nor disagree
Chapter 5,B,1,agree,agree
Chapter 5,B,1,agree,neither agree nor disagree
Chapter 5,B,1.5,neither agree nor disagree,agree
Chapter 5,B,2,disagree,neither agree nor disagree
Chapter 5,B,2,disagree,neither agree nor disagree
Chapter 5,B,2,disagree,disagree
Chapter 5,B,2,neither agree nor disagree,disagree
Chapter 5,B,2,neither agree nor disagree,agree
Chapter 5,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 5,B,2,neither agree nor disagree,disagree
Chapter 5,B,2,neither agree nor disagree,disagree
Chapter 5,B,2,neither agree nor disagree,disagree
Chapter 5,B,2,neither agree nor disagree,agree
Chapter 5,B,2,neither agree nor disagree,disagree
Chapter 5,B,2,neither agree nor disagree,disagree
Chapter 5,B,2,agree,neither agree nor disagree
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,disagree
